threshold,top_k,round_trip_cost,exit_threshold,trend_filter,CAGR,Sharpe,MaxDrawdown,TotalReturn,Days,Score
0.54,5,0.0005,0.52,False,0.12750821247817523,0.7622545619129291,-0.26810048220893556,1.109625231553356,2272,0.5860266398892332
0.51,5,0.001,0.5,False,0.1812690644166599,0.8359714754211379,-0.3833974848444768,1.8186324538688905,2272,0.5836342068705545
0.56,5,0.001,0.5,True,0.08757976208719653,0.7100062205025098,-0.19639305697504272,0.685786710225182,2272,0.5791657035486346
0.51,5,0.0005,0.5,True,0.15623515693405365,0.8147478239025178,-0.3617847153665208,1.467017382478721,2272,0.5721905986895173
0.5,5,0.002,0.52,True,0.1430946343235926,0.7707899361924516,-0.30800189317872717,1.297704929595588,2272,0.5673168119465476
0.54,5,0.001,0.5,False,0.12565896495845608,0.7344944685606584,-0.26586998280287666,1.0881943603750184,2272,0.5594961718058938
0.56,3,0.002,0.48,False,0.09984995825869003,0.7132142410119221,-0.24293488886411985,0.807633670465046,2272,0.5488213173982333
0.56,5,0.002,0.48,True,0.0850031332329313,0.6820241389841893,-0.20087456728356257,0.6610964036354487,2272,0.5468254251272187
0.54,3,0.0005,0.48,True,0.12568578413377085,0.7296776831073246,-0.27795050990718995,1.0885038560711022,2272,0.5450230104217039
0.52,1,0.001,0.48,False,0.30250308178007734,0.9167303683190834,-0.5868454369430653,4.175704228594163,2272,0.5380049432986542
0.52,1,0.0005,0.48,True,0.25030621715152357,0.8754894158478885,-0.519875069057435,3.0131044616018494,2272,0.5346812257473976
0.56,5,0.002,0.48,False,0.0832499449611761,0.6810888088702187,-0.22641119359153117,0.644470735681467,2272,0.5249348374853466
0.5,5,0.001,0.48,False,0.16955057359759462,0.780382814974517,-0.3833974848444768,1.6491419004794787,2272,0.524529999178214
0.5,3,0.0005,0.52,False,0.1630298188436683,0.7424436791659511,-0.3341634755931855,1.5585925091124357,2272,0.5240218443445032
0.51,5,0.001,0.48,True,0.14707708241728334,0.7689429543652818,-0.36306034824651334,1.347954347382744,2272,0.5226178004932561
